Name,StateID,Status,Latitude,Longitude,DateAdded,DateTimeAdded,LastUpdated
Akron,1,verified,32.87802,-87.743989,2015-03-01,2015-03-01,2015-03-01
Huntsville,1,verified,34.729135,-86.584979,2015-03-01,2015-03-01,2015-03-01
Addison,1,verified,34.202175,-87.181384,2015-03-01,2015-03-01,2015-03-01
Montgomery,1,verified,32.38012,-86.300629,2015-03-01,2015-03-01,2015-03-01
Birmingham,1,verified,33.520295,-86.811504,2015-03-01,2015-03-01,2015-03-01
Somerville,1,verified,34.471155,-86.799394,2015-03-01,2015-03-01,2015-03-01
Albertville,1,verified,34.269515,-86.207944,2015-03-01,2015-03-01,2015-03-01
Alexander City,1,verified,32.938845,-85.95295,2015-03-01,2015-03-01,2015-03-01
Alexandria,1,verified,33.76698,-85.892347,2015-03-01,2015-03-01,2015-03-01
Aliceville,1,verified,33.12943,-88.153104,2015-03-01,2015-03-01,2015-03-01
Irvington,1,verified,30.514973,-88.222122,2015-03-01,2015-03-01,2015-03-01
Andalusia,1,verified,31.319599,-86.495424,2015-03-01,2015-03-01,2015-03-01
Anniston,1,verified,33.65711,-85.819449,2015-03-01,2015-03-01,2015-03-01
Oneonta,1,verified,33.948315,-86.472939,2015-03-01,2015-03-01,2015-03-01
Arab,1,verified,34.322876,-86.49535,2015-03-01,2015-03-01,2015-03-01
Ashford,1,verified,31.187665,-85.234823,2015-03-01,2015-03-01,2015-03-01
Ashville,1,verified,33.83651,-86.254749,2015-03-01,2015-03-01,2015-03-01
Athens,1,verified,34.8045,-86.971279,2015-03-01,2015-03-01,2015-03-01
Auburn,1,verified,32.607465,-85.481735,2015-03-01,2015-03-01,2015-03-01
Prattville,1,verified,32.461855,-86.450749,2015-03-01,2015-03-01,2015-03-01
Decatur,1,verified,34.607389,-86.979767,2015-03-01,2015-03-01,2015-03-01
Mobile,1,verified,30.686395,-88.053239,2015-03-01,2015-03-01,2015-03-01
Bay Minette,1,verified,30.882904,-87.773568,2015-03-01,2015-03-01,2015-03-01
Clayton,1,verified,31.878775,-85.449644,2015-03-01,2015-03-01,2015-03-01
Opelika,1,verified,32.6505,-85.380649,2015-03-01,2015-03-01,2015-03-01
Berry,1,verified,33.660343,-87.600082,2015-03-01,2015-03-01,2015-03-01
Valley,1,verified,32.843965,-85.180929,2015-03-01,2015-03-01,2015-03-01
West Blocton,1,verified,33.115377,-87.118992,2015-03-01,2015-03-01,2015-03-01
Centreville,1,verified,32.94488,-87.134714,2015-03-01,2015-03-01,2015-03-01
Cleveland,1,verified,33.991515,-86.577049,2015-03-01,2015-03-01,2015-03-01
Eight Mile,1,verified,30.775282,-88.177529,2015-03-01,2015-03-01,2015-03-01
Boaz,1,verified,34.19763,-86.165596,2015-03-01,2015-03-01,2015-03-01
Madison,1,verified,34.705885,-86.750953,2015-03-01,2015-03-01,2015-03-01
Tuskegee,1,verified,32.424055,-85.689779,2015-03-01,2015-03-01,2015-03-01
Florence,1,verified,34.800465,-87.675254,2015-03-01,2015-03-01,2015-03-01
Brantley,1,verified,31.58243,-86.256884,2015-03-01,2015-03-01,2015-03-01
Sylacauga,1,verified,33.171565,-86.250254,2015-03-01,2015-03-01,2015-03-01
Killen,1,verified,34.859229,-87.529569,2015-03-01,2015-03-01,2015-03-01
Brookwood,1,verified,33.25432,-87.326719,2015-03-01,2015-03-01,2015-03-01
New Market,1,verified,34.909465,-86.427789,2015-03-01,2015-03-01,2015-03-01
Union Springs,1,verified,32.146145,-85.712674,2015-03-01,2015-03-01,2015-03-01
Hunstville,1,verified,32.61436,-86.680737,2015-03-01,2015-03-01,2015-03-01
Letohatchee,1,verified,32.052205,-86.547334,2015-03-01,2015-03-01,2015-03-01
Carbon Hill,1,verified,33.88848,-87.528889,2015-03-01,2015-03-01,2015-03-01
Ozark,1,verified,31.458955,-85.640714,2015-03-01,2015-03-01,2015-03-01
Cedar Bluff,1,verified,34.217656,-85.607709,2015-03-01,2015-03-01,2015-03-01
Tuscaloosa,1,verified,33.210435,-87.566214,2015-03-01,2015-03-01,2015-03-01
Rockford,1,verified,32.889938,-86.21917,2015-03-01,2015-03-01,2015-03-01
Phenix City,1,verified,32.46764,-85.000823,2015-03-01,2015-03-01,2015-03-01
Troy,1,verified,31.809675,-85.972173,2015-03-01,2015-03-01,2015-03-01
Centre,1,verified,34.152189,-85.679685,2015-03-01,2015-03-01,2015-03-01
Cherokee,1,verified,34.75548,-87.973404,2015-03-01,2015-03-01,2015-03-01
